movieId,movieTitle,createdById,createdAt,vote
269,Showgirls,cm2941ws30000f34owtbyuyxq,2024-10-1414:34:03.050,-1
549,Mr. Deeds,cm2941ws30000f34owtbyuyxq,2024-10-1414:38:33.306,1
305,Kansas City,cm2941ws30000f34owtbyuyxq,2024-10-1414:39:41.031,-1
186,The Age of Innocence,cm2941ws30000f34owtbyuyxq,2024-10-1415:14:26.665,-1
1254,Hillbilly Elegy,cm2941ws30000f34owtbyuyxq,2024-10-1415:14:48.122,-1
797,Get Smart,cm2941ws30000f34owtbyuyxq,2024-10-1415:15:47.248,1
886,Wrong Turn 4: Bloody Beginnings,cm2941ws30000f34owtbyuyxq,2024-10-1415:16:19.729,-1
873,Tooth Fairy,cm2941ws30000f34owtbyuyxq,2024-10-1415:17:34.726,-1
77,The Witches,cm2941ws30000f34owtbyuyxq,2024-10-1415:21:09.575,1
473,What Lies Beneath,cm2941ws30000f34owtbyuyxq,2024-10-1415:28:01.536,-1
663,Hostel,cm2941ws30000f34owtbyuyxq,2024-10-1415:28:03.771,-1
953,Piranha 3DD,cm2941ws30000f34owtbyuyxq,2024-10-1415:28:06.014,-1
1393,Wish,cm2941ws30000f34owtbyuyxq,2024-10-1415:28:11.563,1
925,The Amazing Spider-Man,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:33:39.078,1
570,The Cat in the Hat,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:33:41.526,0
1285,The Suicide Squad,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:33:44.097,0
647,Jarhead,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:34:41.009,1
1097,Suicide Squad,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:34:47.081,1
435,The Cider House Rules,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:34:49.561,-1
784,Outlander,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:34:52.064,-1
8,The Karate Kid Part III,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:34:55.600,1
99,Freddy's Dead: The Final Nightmare,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:35:00.048,1
1008,Hercules,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:35:03.750,0
311,Mars Attacks!,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:35:06.464,1
87,The Man in the Moon,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:35:09.659,1
883,Cars 2,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:35:12.464,1
792,The Flyboys,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:35:16.338,-1
1173,Mission: Impossible - Fallout,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:35:18.345,1
1372,White Bird,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:35:21.093,-1
1399,Extraction 2,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:35:25.423,1
1004,Gone Girl,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:35:28.100,0
264,Haunted,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:35:33.099,-1
483,Shrek,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:35:34.900,1
1392,Meg 2: The Trench,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:35:37.770,0
541,Road to Perdition,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:35:42.164,-1
365,Rush Hour,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:35:43.909,1
1161,Terrifier,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:35:46.538,-1
1066,San Andreas,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:35:48.841,-1
1403,The Substance,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:35:50.721,-1
40,Shirley Valentine,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:35:53.141,-1
702,Marie Antoinette,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:35:58.493,-1
1314,Finch,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:36:00.855,-1
1294,Wrong Turn,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:36:03.727,-1
425,Double Jeopardy,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:36:07.720,-1
507,Blow,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:36:21.253,-1
98,Stone Cold,cm2941ws30000f34owtbyuyxq,2024-10-1416:25:00.549,1
1199,Forever My Girl,cm2941ws30000f34owtbyuyxq,2024-10-1416:25:09.433,1
285,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,cm298a9ew0000ekvxmwmku0ba,2024-10-1416:28:44.542,1
385,The X Files,cm298a9ew0000ekvxmwmku0ba,2024-10-1416:28:47.650,1
840,The Taking of Pelham 1 2 3,cm298a9ew0000ekvxmwmku0ba,2024-10-1416:28:50.428,1
737,The Simpsons Movie,cm298a9ew0000ekvxmwmku0ba,2024-10-1416:28:52.769,1
734,Halloween,cm298a9ew0000ekvxmwmku0ba,2024-10-1416:29:50.134,1
451,Remember the Titans,cm298a9ew0000ekvxmwmku0ba,2024-10-1416:29:55.561,1
20,Back to the Future Part II,cm298a9ew0000ekvxmwmku0ba,2024-10-1416:29:58.254,1
290,Executive Decision,cm298a9ew0000ekvxmwmku0ba,2024-10-1416:30:45.610,-1
839,Invictus,cm298a9ew0000ekvxmwmku0ba,2024-10-1416:30:47.489,1
104,Top Girls,cm298a9ew0000ekvxmwmku0ba,2024-10-1416:30:53.514,-1
291,Matilda,cm298a9ew0000ekvxmwmku0ba,2024-10-1416:30:55.426,1
762,Iron Man,cm298a9ew0000ekvxmwmku0ba,2024-10-1416:30:57.550,1
318,From Dusk Till Dawn,cm298a9ew0000ekvxmwmku0ba,2024-10-1416:31:15.658,-1
75,Dick Tracy,cm298a9ew0000ekvxmwmku0ba,2024-10-1416:31:19.323,-1
191,Six Degrees of Separation,cm2941ws30000f34owtbyuyxq,2024-10-1417:53:53.983,1
182,Warlock: The Armageddon,cm2941ws30000f34owtbyuyxq,2024-10-1418:04:50.558,-1
1046,Furious 7,cm2941ws30000f34owtbyuyxq,2024-10-1418:04:55.116,1
1402,Beetlejuice Beetlejuice,cm2941ws30000f34owtbyuyxq,2024-10-1514:42:43.526,5
1192,Mortal Engines,cm2941ws30000f34owtbyuyxq,2024-10-1514:46:04.244,3
1147,Thor: Ragnarok,cm2941ws30000f34owtbyuyxq,2024-10-1514:46:58.723,3
1052,The Good Dinosaur,cm2941ws30000f34owtbyuyxq,2024-10-1514:47:40.299,4
1103,Sing,cm2941ws30000f34owtbyuyxq,2024-10-1514:48:16.794,5
2,Batman,cm2941ws30000f34owtbyuyxq,2024-10-1514:48:30.581,5
573,Scary Movie 3,cm2941ws30000f34owtbyuyxq,2024-10-1514:48:43.827,3
1060,Mad Max: Fury Road,cm2941ws30000f34owtbyuyxq,2024-10-1515:28:26.596,5
1136,Kingsman: The Golden Circle,cm2941ws30000f34owtbyuyxq,2024-10-1515:29:50.834,5
1174,A Quiet Place,cm2941ws30000f34owtbyuyxq,2024-10-1515:30:00.102,5
346,Anastasia,cm2941ws30000f34owtbyuyxq,2024-10-1516:12:07.313,5
1134,Pirates of the Caribbean: Dead Men Tell No Tales,cm2941ws30000f34owtbyuyxq,2024-10-1516:12:15.419,4
736,Spider-Man 3,cm2941ws30000f34owtbyuyxq,2024-10-1418:04:52.285,3
469,The Beach,cm2941ws30000f34owtbyuyxq,2024-10-1418:04:46.470,5
